var_name,site_id,demand_id,value
x[S1],S1,,12.0
x[S2],S2,,14.0
x[S3],S3,,32.0
x[S4],S4,,0.0
x[S5],S5,,70.0
x[S6],S6,,6.0
x[S7],S7,,72.0
x[S8],S8,,3.0
x[S9],S9,,16.0
x[S10],S10,,12.0
x[S11],S11,,7.0
x[S12],S12,,5.0
x[S13],S13,,7.0
x[S14],S14,,-0.0
x[S15],S15,,-0.0
x[S16],S16,,-0.0
x[S17],S17,,14.0
x[S18],S18,,8.0
x[S19],S19,,6.0
x[S20],S20,,4.0
x[S21],S21,,-0.0
x[S22],S22,,1.0
x[S23],S23,,5.0
x[S24],S24,,26.0
x[S25],S25,,6.0
x[S26],S26,,25.0
x[S27],S27,,-0.0
x[S28],S28,,-0.0
x[S29],S29,,6.0
x[S30],S30,,-0.0
x[S31],S31,,0.0
x[S32],S32,,0.0
x[S33],S33,,-0.0
x[S34],S34,,17.0
x[S35],S35,,0.0
x[S36],S36,,-0.0
x[S37],S37,,35.0
x[S38],S38,,-0.0
x[S39],S39,,8.0
x[S40],S40,,3.0
x[S41],S41,,1.0
x[S42],S42,,6.0
x[S43],S43,,27.0
x[S44],S44,,10.0
x[S45],S45,,1.0
x[S46],S46,,6.0
x[S47],S47,,11.0
x[S48],S48,,4.0
x[S49],S49,,-0.0
x[S50],S50,,-0.0
x[S51],S51,,-0.0
x[S52],S52,,-0.0
x[S53],S53,,5.0
x[S54],S54,,0.0
x[S55],S55,,1.0
x[S56],S56,,0.0
x[S57],S57,,0.0
x[S58],S58,,0.0
x[S59],S59,,0.0
x[S60],S60,,0.0
x[S61],S61,,0.0
x[S62],S62,,0.0
x[S63],S63,,0.0
x[S64],S64,,0.0
x[S65],S65,,14.0
x[S66],S66,,0.0
x[S67],S67,,14.0
x[S68],S68,,8.0
x[S69],S69,,23.0
x[S70],S70,,28.0
x[S71],S71,,9.0
x[S72],S72,,4.0
x[S73],S73,,0.0
x[S74],S74,,-0.0
x[S75],S75,,21.0
x[S76],S76,,-0.0
"y[S1,D1]",S1,D1,12.0
"y[S1,D6]",S1,D6,0.0
"y[S2,D1]",S2,D1,15.0
"y[S2,D6]",S2,D6,0.0
"y[S3,D1]",S3,D1,34.0
"y[S3,D6]",S3,D6,0.0
"y[S4,D1]",S4,D1,0.0
"y[S4,D6]",S4,D6,0.0
"y[S5,D1]",S5,D1,75.0
"y[S5,D6]",S5,D6,0.0
"y[S6,D2]",S6,D2,6.0
"y[S6,D5]",S6,D5,0.0
"y[S7,D2]",S7,D2,77.0
"y[S7,D5]",S7,D5,0.0
"y[S8,D2]",S8,D2,3.0
"y[S8,D5]",S8,D5,0.0
"y[S9,D2]",S9,D2,17.0
"y[S9,D5]",S9,D5,0.0
"y[S10,D2]",S10,D2,6.0
"y[S10,D5]",S10,D5,-0.0
"y[S11,D2]",S11,D2,7.0
"y[S11,D5]",S11,D5,0.0
"y[S12,D2]",S12,D2,5.0
"y[S12,D5]",S12,D5,0.0
"y[S13,D2]",S13,D2,7.0
"y[S13,D5]",S13,D5,0.0
"y[S14,D2]",S14,D2,0.0
"y[S14,D5]",S14,D5,0.0
"y[S15,D2]",S15,D2,-0.0
"y[S15,D5]",S15,D5,0.0
"y[S16,D2]",S16,D2,-0.0
"y[S16,D5]",S16,D5,-0.0
"y[S17,D3]",S17,D3,15.0
"y[S18,D3]",S18,D3,34.0
"y[S19,D3]",S19,D3,6.0
"y[S20,D3]",S20,D3,4.0
"y[S21,D3]",S21,D3,-0.0
"y[S22,D3]",S22,D3,1.0
"y[S23,D3]",S23,D3,5.0
"y[S24,D3]",S24,D3,110.0
"y[S25,D3]",S25,D3,6.0
"y[S26,D3]",S26,D3,106.0
"y[S27,D3]",S27,D3,-0.0
"y[S28,D3]",S28,D3,-0.0
"y[S29,D4]",S29,D4,7.0
"y[S29,D7]",S29,D7,0.0
"y[S30,D4]",S30,D4,-0.0
"y[S30,D7]",S30,D7,0.0
"y[S31,D4]",S31,D4,0.0
"y[S32,D4]",S32,D4,0.0
"y[S33,D4]",S33,D4,-0.0
"y[S34,D4]",S34,D4,72.0
"y[S35,D4]",S35,D4,0.0
"y[S35,D7]",S35,D7,0.0
"y[S36,D4]",S36,D4,-0.0
"y[S36,D7]",S36,D7,0.0
"y[S37,D4]",S37,D4,149.0
"y[S38,D4]",S38,D4,0.0
"y[S38,D7]",S38,D7,0.0
"y[S39,D4]",S39,D4,8.0
"y[S40,D4]",S40,D4,1.0
"y[S40,D7]",S40,D7,0.0
"y[S41,D4]",S41,D4,-0.0
"y[S42,D4]",S42,D4,6.0
"y[S42,D7]",S42,D7,0.0
"y[S43,D4]",S43,D4,29.0
"y[S44,D4]",S44,D4,10.0
"y[S44,D7]",S44,D7,0.0
"y[S45,D4]",S45,D4,1.0
"y[S45,D7]",S45,D7,0.0
"y[S46,D4]",S46,D4,6.0
"y[S47,D4]",S47,D4,11.0
"y[S48,D4]",S48,D4,4.0
"y[S48,D7]",S48,D7,0.0
"y[S49,D4]",S49,D4,0.0
"y[S50,D4]",S50,D4,-0.0
"y[S51,D4]",S51,D4,-0.0
"y[S51,D7]",S51,D7,0.0
"y[S52,D4]",S52,D4,0.0
"y[S52,D7]",S52,D7,0.0
"y[S53,D2]",S53,D2,0.0
"y[S53,D5]",S53,D5,21.0
"y[S54,D2]",S54,D2,0.0
"y[S54,D5]",S54,D5,0.0
"y[S55,D2]",S55,D2,0.0
"y[S55,D5]",S55,D5,1.0
"y[S56,D2]",S56,D2,0.0
"y[S56,D5]",S56,D5,0.0
"y[S57,D2]",S57,D2,0.0
"y[S57,D5]",S57,D5,0.0
"y[S58,D2]",S58,D2,0.0
"y[S58,D5]",S58,D5,0.0
"y[S59,D2]",S59,D2,0.0
"y[S59,D5]",S59,D5,0.0
"y[S60,D2]",S60,D2,0.0
"y[S60,D5]",S60,D5,0.0
"y[S61,D2]",S61,D2,0.0
"y[S61,D5]",S61,D5,0.0
"y[S62,D2]",S62,D2,0.0
"y[S62,D5]",S62,D5,0.0
"y[S63,D2]",S63,D2,0.0
"y[S63,D5]",S63,D5,0.0
"y[S64,D1]",S64,D1,0.0
"y[S64,D6]",S64,D6,0.0
"y[S65,D1]",S65,D1,0.0
"y[S65,D6]",S65,D6,15.0
"y[S66,D1]",S66,D1,0.0
"y[S66,D6]",S66,D6,0.0
"y[S67,D1]",S67,D1,0.0
"y[S67,D6]",S67,D6,15.0
"y[S68,D1]",S68,D1,0.0
"y[S68,D6]",S68,D6,8.0
"y[S69,D1]",S69,D1,-0.0
"y[S69,D6]",S69,D6,24.0
"y[S70,D1]",S70,D1,0.0
"y[S70,D6]",S70,D6,30.0
"y[S71,D4]",S71,D4,0.0
"y[S71,D7]",S71,D7,9.0
"y[S72,D4]",S72,D4,0.0
"y[S72,D7]",S72,D7,5.0
"y[S73,D4]",S73,D4,0.0
"y[S73,D7]",S73,D7,0.0
"y[S74,D4]",S74,D4,0.0
"y[S74,D7]",S74,D7,-0.0
"y[S75,D4]",S75,D4,0.0
"y[S75,D7]",S75,D7,89.0
"y[S76,D4]",S76,D4,0.0
"y[S76,D7]",S76,D7,-0.0
