site_id,demand_id,sessions
S1,D1,12.0
S2,D1,15.0
S3,D1,34.0
S5,D1,75.0
S6,D2,6.0
S7,D2,77.0
S8,D2,3.0
S9,D2,17.0
S10,D2,6.0
S11,D2,7.0
S12,D2,5.0
S13,D2,7.0
S17,D3,15.0
S18,D3,34.0
S19,D3,6.0
S20,D3,4.0
S22,D3,1.0
S23,D3,5.0
S24,D3,110.0
S25,D3,6.0
S26,D3,106.0
S29,D4,7.0
S34,D4,72.0
S37,D4,149.0
S39,D4,8.0
S40,D4,1.0
S42,D4,6.0
S43,D4,29.0
S44,D4,10.0
S45,D4,1.0
S46,D4,6.0
S47,D4,11.0
S48,D4,4.0
S53,D5,21.0
S55,D5,1.0
S65,D6,15.0
S67,D6,15.0
S68,D6,8.0
S69,D6,24.0
S70,D6,30.0
S71,D7,9.0
S72,D7,5.0
S75,D7,89.0
